filename,angle
342.jpg,15.95
344.jpg,303.47
345.jpg,11.61
346.jpg,224.7
347.jpg,294.76
348.jpg,109.41
350.jpg,337.07
351.jpg,6.0
352.jpg,106.96
353.jpg,353.36
354.jpg,4.55
355.jpg,259.63
356.jpg,211.35
357.jpg,7.18
358.jpg,6.23
359.jpg,0.67
360.jpg,268.04
362.jpg,4.09
363.jpg,346.54
364.jpg,15.64
365.jpg,341.64
366.jpg,351.8
368.jpg,265.43
369.jpg,90.8
371.jpg,2.29
372.jpg,217.85
373.jpg,243.65
374.jpg,295.24
375.jpg,30.69
376.jpg,330.0
377.jpg,29.39
378.jpg,354.31
379.jpg,30.79
380.jpg,185.08
381.jpg,303.01
382.jpg,10.21
383.jpg,339.92
384.jpg,342.5
385.jpg,247.04
386.jpg,345.69
388.jpg,48.26
389.jpg,350.54
390.jpg,297.45
391.jpg,240.79
392.jpg,336.79
393.jpg,9.95
394.jpg,7.88
395.jpg,9.06
396.jpg,313.92
397.jpg,268.02
399.jpg,55.86
400.jpg,80.35
401.jpg,28.3
403.jpg,346.76
405.jpg,0.52
406.jpg,356.58
407.jpg,73.56
408.jpg,359.62
410.jpg,359.3
411.jpg,327.45
412.jpg,350.01
414.jpg,270.45
416.jpg,1.57
417.jpg,232.74
418.jpg,239.75
419.jpg,12.76
421.jpg,284.93
422.jpg,324.85
423.jpg,247.22
424.jpg,323.93
426.jpg,357.17
427.jpg,328.06
428.jpg,246.31
429.jpg,194.49
430.jpg,228.26
431.jpg,4.22
432.jpg,192.17
434.jpg,299.57
435.jpg,4.98
436.jpg,1.05
437.jpg,270.67
438.jpg,149.65
439.jpg,284.22
440.jpg,120.29
441.jpg,104.62
442.jpg,110.63
443.jpg,257.37
444.jpg,263.64
445.jpg,0.52
446.jpg,270.85
447.jpg,243.14
448.jpg,357.17
449.jpg,251.68
450.jpg,354.71
451.jpg,279.26
452.jpg,3.74
453.jpg,3.15
454.jpg,42.48
455.jpg,275.56
456.jpg,98.55
457.jpg,110.74
458.jpg,302.71
459.jpg,310.18
460.jpg,281.18
461.jpg,269.52
462.jpg,238.78
463.jpg,273.53
464.jpg,235.53
465.jpg,242.81
466.jpg,7.08
468.jpg,313.3
469.jpg,356.72
470.jpg,55.97
471.jpg,11.49
472.jpg,140.46
473.jpg,71.6
474.jpg,149.88
475.jpg,57.77
476.jpg,21.44
477.jpg,5.53
478.jpg,31.79
479.jpg,24.93
480.jpg,357.22
481.jpg,19.0
482.jpg,70.21
483.jpg,74.2
484.jpg,95.74
486.jpg,84.07
489.jpg,136.91
490.jpg,4.26
491.jpg,64.76
493.jpg,3.37
494.jpg,119.77
495.jpg,11.29
496.jpg,163.45
497.jpg,344.69
498.jpg,351.69
499.jpg,358.17
500.jpg,3.37
501.jpg,287.66
502.jpg,337.43
503.jpg,5.42
504.jpg,355.14
505.jpg,24.33
507.jpg,314.84
508.jpg,28.56
509.jpg,327.94
512.jpg,86.94
514.jpg,88.32
515.jpg,65.07
516.jpg,358.2
517.jpg,349.6
519.jpg,296.94
522.jpg,63.78
523.jpg,306.56
524.jpg,59.22
525.jpg,312.04
526.jpg,58.67
527.jpg,7.3
528.jpg,92.87
531.jpg,34.19
532.jpg,27.9
537.jpg,41.19
538.jpg,97.36
539.jpg,356.44
540.jpg,15.21
541.jpg,358.41
542.jpg,96.55
544.jpg,338.45
545.jpg,32.54
547.jpg,39.81
548.jpg,92.79
549.jpg,40.12
550.jpg,36.16
553.jpg,81.98
554.jpg,52.59
555.jpg,351.75
556.jpg,39.88
557.jpg,85.24
559.jpg,356.21
562.jpg,58.06
565.jpg,47.93
568.jpg,52.5
570.jpg,38.5
571.jpg,29.62
572.jpg,342.8
573.jpg,340.11
574.jpg,1.06
575.jpg,281.29
576.jpg,54.97
577.jpg,28.8
578.jpg,36.02
579.jpg,65.5
580.jpg,4.16
581.jpg,33.67
585.jpg,338.3
587.jpg,259.57
588.jpg,56.49
589.jpg,72.34
590.jpg,16.89
593.jpg,88.73
594.jpg,3.11
597.jpg,56.17
601.jpg,264.3
602.jpg,269.56
603.jpg,279.84
604.jpg,356.69
607.jpg,264.43
608.jpg,276.99
609.jpg,265.86
611.jpg,320.63
612.jpg,270.52
614.jpg,264.68
615.jpg,280.68
616.jpg,331.04
617.jpg,31.97
619.jpg,268.63
620.jpg,275.03
621.jpg,282.07
625.jpg,245.2
626.jpg,277.45
627.jpg,266.8
629.jpg,231.8
630.jpg,277.1
631.jpg,268.09
632.jpg,287.81
633.jpg,282.14
635.jpg,302.48
636.jpg,322.96
637.jpg,270.64
638.jpg,276.98
639.jpg,278.08
640.jpg,245.22
643.jpg,275.8
644.jpg,315.65
645.jpg,289.48
646.jpg,266.18
647.jpg,277.45
648.jpg,325.38
649.jpg,266.18
651.jpg,275.03
652.jpg,254.14
653.jpg,275.87
654.jpg,322.01
656.jpg,333.11
657.jpg,206.18
658.jpg,267.58
659.jpg,279.84
660.jpg,296.97
661.jpg,268.61
662.jpg,176.03
663.jpg,279.48
664.jpg,308.17
665.jpg,269.62
666.jpg,293.84
667.jpg,271.14
668.jpg,303.67
670.jpg,284.11
671.jpg,335.48
672.jpg,192.78
673.jpg,274.96
675.jpg,273.57
676.jpg,290.12
677.jpg,277.18
678.jpg,306.32
679.jpg,278.09
680.jpg,267.62
681.jpg,332.46
682.jpg,228.8
683.jpg,287.49
685.jpg,201.87
686.jpg,329.92
688.jpg,280.06
689.jpg,276.91
690.jpg,266.3
691.jpg,321.52
692.jpg,269.38
693.jpg,275.23
695.jpg,251.37
696.jpg,273.61
697.jpg,299.45
698.jpg,249.74
699.jpg,236.44
700.jpg,327.93
701.jpg,239.7
702.jpg,267.14
704.jpg,310.62
705.jpg,279.32
706.jpg,254.25
707.jpg,240.42
708.jpg,227.15
709.jpg,282.88
710.jpg,288.26
711.jpg,305.0
712.jpg,285.97
713.jpg,280.09
714.jpg,293.87
715.jpg,312.77
716.jpg,229.71
717.jpg,287.96
718.jpg,316.21
720.jpg,299.77
721.jpg,323.21
722.jpg,326.32
723.jpg,277.15
724.jpg,228.99
725.jpg,288.19
726.jpg,329.06
727.jpg,307.83
728.jpg,292.56
729.jpg,303.85
731.jpg,318.07
732.jpg,297.09
733.jpg,249.98
734.jpg,302.76
735.jpg,298.12
736.jpg,312.8
737.jpg,323.18
738.jpg,50.69
739.jpg,49.86
741.jpg,226.95
742.jpg,289.76
743.jpg,358.55
744.jpg,249.72
745.jpg,212.36
746.jpg,295.46
747.jpg,265.01
748.jpg,283.1
749.jpg,286.46
750.jpg,290.22
751.jpg,328.76
752.jpg,303.2
753.jpg,296.59
754.jpg,295.47
755.jpg,276.25
756.jpg,326.38
757.jpg,270.3
758.jpg,266.01
759.jpg,280.5
760.jpg,273.0
761.jpg,246.52
762.jpg,318.97
763.jpg,248.72
764.jpg,282.01
765.jpg,294.81
767.jpg,263.95
768.jpg,320.07
769.jpg,278.37
770.jpg,297.69
771.jpg,177.91
772.jpg,274.21
773.jpg,260.85
774.jpg,240.85
775.jpg,274.13
777.jpg,266.0
778.jpg,278.59
779.jpg,269.27
781.jpg,295.72
782.jpg,275.3
784.jpg,333.06
785.jpg,267.62
786.jpg,264.24
788.jpg,271.79
789.jpg,270.07
790.jpg,259.51
791.jpg,276.08
792.jpg,269.66
793.jpg,308.53
794.jpg,291.89
795.jpg,272.67
796.jpg,321.47
798.jpg,268.18
799.jpg,271.82
800.jpg,277.95
801.jpg,339.61
802.jpg,307.93
803.jpg,338.57
804.jpg,281.06
805.jpg,316.86
806.jpg,295.78
807.jpg,182.96
808.jpg,272.61
809.jpg,270.56
811.jpg,275.3
812.jpg,209.14
813.jpg,249.29
814.jpg,266.32
815.jpg,274.52
816.jpg,270.59
817.jpg,288.34
818.jpg,268.63
819.jpg,287.57
820.jpg,295.55
821.jpg,273.78
822.jpg,347.75
823.jpg,280.59
824.jpg,282.86
825.jpg,334.56
827.jpg,285.36
828.jpg,259.55
829.jpg,271.72
830.jpg,278.97
831.jpg,258.36
832.jpg,275.97
834.jpg,314.15
835.jpg,283.74
836.jpg,274.26
837.jpg,307.15
838.jpg,280.04
839.jpg,270.48
840.jpg,254.06
841.jpg,271.29
842.jpg,296.63
843.jpg,295.69
844.jpg,272.76
845.jpg,310.95
846.jpg,270.98
847.jpg,321.93
848.jpg,273.73
849.jpg,285.34
850.jpg,271.12
851.jpg,274.19
852.jpg,272.75
853.jpg,269.41
854.jpg,220.22
855.jpg,323.05
856.jpg,235.4
857.jpg,281.34
858.jpg,276.0
859.jpg,270.21
860.jpg,249.86
861.jpg,273.13
863.jpg,273.3
865.jpg,273.38
866.jpg,301.76
868.jpg,247.88
870.jpg,289.96
871.jpg,306.92
872.jpg,267.04
873.jpg,235.62
874.jpg,270.65
875.jpg,317.86
876.jpg,274.09
877.jpg,231.76
880.jpg,279.43
881.jpg,271.14
882.jpg,280.49
883.jpg,273.64
884.jpg,280.23
885.jpg,35.52
886.jpg,290.24
887.jpg,244.49
888.jpg,293.57
890.jpg,269.11
891.jpg,259.68
892.jpg,326.15
893.jpg,14.18
894.jpg,296.15
895.jpg,224.77
896.jpg,231.42
897.jpg,273.92
898.jpg,289.45
899.jpg,273.36
900.jpg,278.33
901.jpg,275.91
902.jpg,232.8
903.jpg,280.38
904.jpg,22.45
906.jpg,336.69
907.jpg,332.54
908.jpg,317.82
909.jpg,300.14
910.jpg,283.59
911.jpg,259.18
912.jpg,223.18
913.jpg,294.34
914.jpg,235.26
916.jpg,317.58
917.jpg,257.23
918.jpg,251.08
919.jpg,330.59
920.jpg,228.33
921.jpg,285.72
922.jpg,322.34
923.jpg,327.56
924.jpg,260.52
926.jpg,279.56
927.jpg,245.97
929.jpg,333.04
930.jpg,221.17
931.jpg,283.72
932.jpg,274.6
933.jpg,242.22
934.jpg,311.53
935.jpg,249.56
936.jpg,264.2
937.jpg,295.02
938.jpg,236.33
939.jpg,223.6
940.jpg,224.81
941.jpg,287.03
942.jpg,330.88
944.jpg,247.86
945.jpg,320.55
946.jpg,237.69
948.jpg,272.33
949.jpg,241.11
950.jpg,296.45
951.jpg,246.44
953.jpg,274.44
954.jpg,266.39
955.jpg,257.6
956.jpg,298.48
957.jpg,268.43
958.jpg,323.02
959.jpg,301.25
960.jpg,228.84
961.jpg,262.0
962.jpg,227.35
963.jpg,257.11
964.jpg,257.14
965.jpg,306.06
966.jpg,292.77
967.jpg,308.58
968.jpg,268.81
969.jpg,278.27
970.jpg,248.67
971.jpg,329.13
972.jpg,275.07
973.jpg,319.15
974.jpg,270.59
975.jpg,241.61
976.jpg,271.83
977.jpg,298.7
978.jpg,246.33
979.jpg,297.84
980.jpg,302.14
981.jpg,268.56
982.jpg,324.18
983.jpg,308.23
984.jpg,252.43
985.jpg,252.4
986.jpg,289.86
987.jpg,304.6
988.jpg,262.57
989.jpg,276.55
990.jpg,306.22
991.jpg,266.42
992.jpg,279.12
993.jpg,228.42
994.jpg,250.95
995.jpg,266.64
996.jpg,288.87
997.jpg,270.16
998.jpg,284.39
999.jpg,270.7
1000.jpg,308.33
1001.jpg,350.2
1002.jpg,97.89
1003.jpg,24.24
1004.jpg,357.95
1005.jpg,6.95
1006.jpg,179.67
1007.jpg,175.82
1008.jpg,82.56
1009.jpg,94.06
1010.jpg,98.61
1011.jpg,352.2
1012.jpg,1.19
1013.jpg,71.16
1014.jpg,77.21
1015.jpg,7.44
1016.jpg,274.72
1017.jpg,0.61
1018.jpg,203.28
1019.jpg,57.0
1020.jpg,282.85
1021.jpg,110.56
1022.jpg,29.44
1023.jpg,336.45
1025.jpg,83.8
1026.jpg,26.29
1027.jpg,307.69
1028.jpg,57.18
1029.jpg,181.24
1030.jpg,64.21
1031.jpg,269.71
1032.jpg,67.54
1033.jpg,80.88
1034.jpg,26.6
1035.jpg,274.79
1036.jpg,11.65
1038.jpg,254.43
1039.jpg,239.12
1040.jpg,0.62
1041.jpg,357.69
1042.jpg,151.25
1045.jpg,290.73
1046.jpg,279.18
1047.jpg,352.73
1048.jpg,338.26
1050.jpg,47.19
1053.jpg,11.95
1054.jpg,50.57
1055.jpg,289.61
1056.jpg,343.59
1057.jpg,4.08
1058.jpg,52.04
1059.jpg,63.95
1060.jpg,246.57
1061.jpg,1.43
1062.jpg,314.09
1063.jpg,4.96
1064.jpg,4.21
1065.jpg,55.49
1066.jpg,357.49
1067.jpg,4.24
1068.jpg,237.42
1069.jpg,58.45
1070.jpg,277.21
1071.jpg,18.84
1072.jpg,340.98
1073.jpg,337.54
1074.jpg,359.54
1078.jpg,170.73
1079.jpg,45.68
1080.jpg,30.55
1081.jpg,43.81
1082.jpg,355.87
1085.jpg,34.19
1086.jpg,329.35
1087.jpg,344.01
1088.jpg,347.86
1090.jpg,278.41
1091.jpg,352.18
1093.jpg,57.9
1095.jpg,8.22
1096.jpg,73.04
1097.jpg,35.81
1098.jpg,346.69
1099.jpg,0.94
1100.jpg,52.72
1101.jpg,237.41
1102.jpg,3.2
1103.jpg,24.55
1104.jpg,333.26
1105.jpg,48.21
1108.jpg,27.22
1110.jpg,78.89
1111.jpg,68.83
1112.jpg,41.1
1113.jpg,76.86
1114.jpg,2.64
1116.jpg,90.22
1117.jpg,26.4
1118.jpg,283.36
1119.jpg,351.3
1121.jpg,232.54
1122.jpg,136.39
1123.jpg,30.54
1124.jpg,57.76
1128.jpg,118.04
1129.jpg,65.48
1130.jpg,346.52
1131.jpg,66.05
1132.jpg,5.63
1133.jpg,1.11
1135.jpg,34.8
1136.jpg,280.18
1137.jpg,288.26
1138.jpg,359.94
1140.jpg,342.41
1141.jpg,7.1
1142.jpg,58.68
1143.jpg,345.13
1144.jpg,23.39
1145.jpg,244.02
1147.jpg,358.73
1148.jpg,199.65
1149.jpg,281.58
1150.jpg,54.4
1151.jpg,44.42
1152.jpg,353.6
1154.jpg,65.42
1156.jpg,37.71
1157.jpg,355.67
1158.jpg,350.71
1159.jpg,3.38
1161.jpg,51.05
1163.jpg,339.87
1164.jpg,267.19
1165.jpg,327.7
1166.jpg,222.45
1168.jpg,108.22
1169.jpg,341.23
1171.jpg,42.86
1173.jpg,174.09
1174.jpg,328.19
1175.jpg,328.26
1176.jpg,322.05
1178.jpg,339.67
1179.jpg,328.94
1180.jpg,79.97
1181.jpg,14.24
1183.jpg,133.24
1186.jpg,198.43
1187.jpg,61.38
1188.jpg,24.5
1189.jpg,41.41
1191.jpg,32.96
1192.jpg,239.8
1193.jpg,262.0
1194.jpg,241.39
1195.jpg,16.81
1196.jpg,84.37
1197.jpg,348.42
1199.jpg,354.95
1201.jpg,331.53
1202.jpg,32.1
1203.jpg,26.9
1204.jpg,35.9
1205.jpg,231.61
1206.jpg,3.33
1207.jpg,34.9
1210.jpg,88.42
1211.jpg,339.39
1213.jpg,29.2
1215.jpg,7.18
1216.jpg,87.44
1217.jpg,338.98
1218.jpg,226.85
1219.jpg,229.49
1220.jpg,49.21
1221.jpg,21.32
1222.jpg,88.7
1225.jpg,57.18
1227.jpg,79.41
1228.jpg,2.99
1231.jpg,359.49
1232.jpg,340.86
1233.jpg,158.73
1234.jpg,353.25
1235.jpg,147.36
1236.jpg,1.36
1237.jpg,124.34
1238.jpg,336.47
1239.jpg,150.06
1240.jpg,340.7
1241.jpg,142.7
1242.jpg,7.13
1245.jpg,274.56
1246.jpg,37.86
1247.jpg,350.92
1248.jpg,29.89
1249.jpg,64.11
1250.jpg,1.48
1251.jpg,28.28
1252.jpg,94.71
1255.jpg,89.79
1256.jpg,25.07
1257.jpg,275.58
1258.jpg,268.22
1259.jpg,85.27
1260.jpg,338.45
1264.jpg,292.07
1265.jpg,323.54
1268.jpg,0.62
1269.jpg,257.2
1270.jpg,7.18
1272.jpg,351.11
1273.jpg,342.34
1274.jpg,0.08
1275.jpg,178.03
1276.jpg,347.19
1277.jpg,287.42
1278.jpg,40.12
1279.jpg,91.82
1282.jpg,293.21
1283.jpg,330.22
1284.jpg,334.53
1285.jpg,42.93
1287.jpg,218.73
1288.jpg,20.66
1289.jpg,58.03
1290.jpg,128.84
1292.jpg,226.21
1293.jpg,350.35
1295.jpg,12.1
1296.jpg,335.78
1298.jpg,237.48
1299.jpg,29.03
1301.jpg,244.27
1302.jpg,323.77
1303.jpg,245.3
1304.jpg,348.86
1305.jpg,270.0
1306.jpg,274.42
1307.jpg,275.45
1308.jpg,308.42
1309.jpg,273.25
1311.jpg,297.45
1312.jpg,278.15
1313.jpg,6.22
1314.jpg,358.11
1316.jpg,329.54
1317.jpg,98.69
1318.jpg,330.37
1319.jpg,324.36
1320.jpg,43.06
1321.jpg,345.39
1322.jpg,0.96
1325.jpg,2.67
1326.jpg,298.27
1327.jpg,356.67
1328.jpg,89.45
1329.jpg,38.57
1330.jpg,31.3
1331.jpg,238.38
1332.jpg,259.58
1334.jpg,272.71
1335.jpg,316.51
1336.jpg,269.45
1337.jpg,358.82
1338.jpg,273.95
1339.jpg,330.69
1341.jpg,2.49
1342.jpg,315.32
1343.jpg,355.92
1344.jpg,298.99
1345.jpg,322.21
1346.jpg,326.27
1347.jpg,3.56
1348.jpg,349.49
1349.jpg,344.6
1350.jpg,273.36
1351.jpg,271.84
1352.jpg,246.85
1353.jpg,331.39
1354.jpg,5.48
1356.jpg,301.26
1357.jpg,289.12
1358.jpg,323.79
1359.jpg,0.18
1360.jpg,34.01
1361.jpg,291.07
1362.jpg,329.6
1363.jpg,249.28
1365.jpg,272.33
1366.jpg,314.92
1370.jpg,276.26
1371.jpg,0.16
1372.jpg,343.66
1373.jpg,319.8
1374.jpg,268.37
1375.jpg,273.81
1376.jpg,329.73
1377.jpg,276.17
1378.jpg,306.66
1379.jpg,337.1
1381.jpg,347.6
1382.jpg,254.48
1384.jpg,287.0
1387.jpg,276.19
1390.jpg,225.93
1391.jpg,325.04
1392.jpg,341.27
1394.jpg,37.62
1395.jpg,342.17
1396.jpg,336.44
1397.jpg,276.33
1398.jpg,261.92
1399.jpg,4.05
1400.jpg,4.94
1401.jpg,2.91
1402.jpg,31.77
1403.jpg,2.78
1404.jpg,304.73
1405.jpg,351.82
1406.jpg,27.94
1407.jpg,3.38
1408.jpg,279.63
1409.jpg,322.23
1411.jpg,243.02
1412.jpg,3.28
1414.jpg,283.33
1415.jpg,253.63
1416.jpg,52.13
1417.jpg,4.38
1418.jpg,291.44
1419.jpg,0.97
1420.jpg,4.25
1421.jpg,141.32
1422.jpg,0.69
1423.jpg,0.34
1424.jpg,310.53
1425.jpg,2.2
1426.jpg,345.15
1428.jpg,44.85
1429.jpg,322.99
1431.jpg,235.89
1432.jpg,78.07
1433.jpg,268.61
1435.jpg,267.27
1436.jpg,254.57
1437.jpg,317.41
1438.jpg,256.11
1439.jpg,269.19
1440.jpg,33.06
1441.jpg,256.69
1442.jpg,313.76
1443.jpg,275.85
1444.jpg,273.15
1445.jpg,1.57
1446.jpg,2.26
1447.jpg,270.84
1448.jpg,325.69
1449.jpg,359.62
1451.jpg,358.96
1452.jpg,270.0
1453.jpg,270.35
1454.jpg,241.21
1455.jpg,276.82
1457.jpg,271.7
1458.jpg,258.34
1459.jpg,5.06
1460.jpg,2.97
1461.jpg,45.73
1462.jpg,15.96
1463.jpg,1.91
1464.jpg,90.92
1465.jpg,289.15
1466.jpg,274.82
1467.jpg,272.27
1468.jpg,276.34
1469.jpg,334.82
1471.jpg,343.44
1472.jpg,304.47
1473.jpg,281.9
1475.jpg,94.69
1476.jpg,94.7
1478.jpg,3.83
1479.jpg,280.3
1481.jpg,275.28
1482.jpg,1.55
1483.jpg,14.6
1484.jpg,2.84
1485.jpg,308.75
1486.jpg,25.12
1487.jpg,313.27
1488.jpg,247.99
1489.jpg,357.91
1490.jpg,1.34
1491.jpg,313.73
1492.jpg,103.56
1493.jpg,271.45
1494.jpg,28.5
1495.jpg,1.14
1497.jpg,2.13
1498.jpg,340.06
1499.jpg,354.03
1500.jpg,354.85
1501.jpg,272.34
1502.jpg,277.19
1503.jpg,270.22
1504.jpg,264.65
1505.jpg,229.65
1506.jpg,111.92
1508.jpg,330.57
1511.jpg,31.0
1512.jpg,275.03
1513.jpg,128.23
1514.jpg,202.33
1515.jpg,278.97
1516.jpg,192.86
1517.jpg,257.48
1518.jpg,293.08
1519.jpg,314.94
1520.jpg,346.19
1521.jpg,53.22
1522.jpg,328.03
1523.jpg,350.52
1524.jpg,0.63
1525.jpg,248.83
1526.jpg,357.99
1527.jpg,2.26
1528.jpg,329.5
1529.jpg,321.25
1530.jpg,2.41
1531.jpg,19.32
1533.jpg,49.11
1534.jpg,138.84
1535.jpg,2.82
1536.jpg,320.58
1537.jpg,2.55
1538.jpg,0.38
1539.jpg,128.43
1540.jpg,3.32
1541.jpg,90.95
1542.jpg,356.85
1543.jpg,2.58
1544.jpg,2.13
1545.jpg,30.77
1546.jpg,2.71
1547.jpg,32.7
1548.jpg,349.49
1549.jpg,358.58
1550.jpg,260.27
1551.jpg,353.45
1552.jpg,6.53
1553.jpg,7.43
1555.jpg,293.68
1556.jpg,0.47
1557.jpg,50.74
1558.jpg,105.81
1559.jpg,53.83
1560.jpg,64.68
1561.jpg,357.86
1562.jpg,287.58
1563.jpg,278.04
1565.jpg,237.69
1566.jpg,91.62
1567.jpg,140.52
1568.jpg,86.09
1569.jpg,52.94
1570.jpg,2.52
1572.jpg,1.1
1573.jpg,1.1
1574.jpg,2.18
1576.jpg,344.11
1577.jpg,287.08
1578.jpg,248.85
1580.jpg,313.24
1581.jpg,335.31
1584.jpg,33.97
1585.jpg,259.2
1586.jpg,337.34
1588.jpg,3.24
1589.jpg,52.63
1590.jpg,30.49
1591.jpg,284.97
1592.jpg,66.64
1593.jpg,356.11
1594.jpg,272.62
1595.jpg,333.95
1596.jpg,33.14
1597.jpg,12.98
1598.jpg,304.82
1599.jpg,40.45
1600.jpg,6.26
1601.jpg,2.89
1602.jpg,5.26
1603.jpg,24.45
1604.jpg,329.41
1605.jpg,55.49
1607.jpg,358.81
1608.jpg,231.05
1609.jpg,308.52
1610.jpg,0.63
1611.jpg,0.19
1612.jpg,17.93
1613.jpg,2.0
1614.jpg,2.17
1615.jpg,93.74
1616.jpg,115.29
1617.jpg,47.05
1618.jpg,7.93
1619.jpg,15.02
1620.jpg,42.23
1621.jpg,131.89
1623.jpg,145.03
1624.jpg,3.78
1625.jpg,36.8
1626.jpg,129.31
1627.jpg,343.77
